Birth Date (Medallists.Csv),Code (Medallists.Csv),Country (Medallists.Csv),Country Code (Medallists.Csv),Discipline,Event,Gender (Medallists.Csv),Medal Code,Medal Date,Medal Type,Name (Medallists.Csv),Number of Female Medallists,Number of Male Medallists
06-May-97,1903621,Great Britain,GBR,Swimming,Men's 200m Individual Medley,Male,2,,Silver ,SCOTT Duncan,0,1
11-Feb-94,1945186,China,CHN,Swimming,Men's 200m Individual Medley,Male,3,,Bronze ,WANG Shun,0,1
13-May-94,1946161,Australia,AUS,Swimming,Men's 50m Freestyle,Male,1,,Gold ,McEVOY Cameron,0,1
21-Sep-94,1903616,Great Britain,GBR,Swimming,Men's 50m Freestyle,Male,2,,Silver ,PROUD Benjamin,0,1
12-Nov-90,1909292,France,FRA,Swimming,Men's 50m Freestyle,Male,3,,Bronze ,MANAUDOU Florent,0,1
12-Jul-01,1946198,Australia,AUS,Swimming,Women's 200m Backstroke,Female,1,,Gold ,McKEOWN Kaylee,1,0
09-Feb-02,1935984,United States,USA,Swimming,Women's 200m Backstroke,Female,2,,Silver ,SMITH Regan,1,0
18-Jan-96,1967104,Canada,CAN,Swimming,Women's 200m Backstroke,Female,3,,Bronze ,MASSE Kylie,1,0
31-May-01,1931815,Poland,POL,Tennis,Women's Singles,Female,3,,Bronze ,SWIATEK Iga,1,0
26-Jun-01,1937347,AIN,AIN,Trampoline Gymnastics,Men,Male,1,,Gold ,LITVINOVICH Ivan,0,1
18-Jun-06,1918790,China,CHN,Trampoline Gymnastics,Men,Male,2,,Silver ,WANG Zisai,0,1
31-Aug-99,1918789,China,CHN,Trampoline Gymnastics,Men,Male,3,,Bronze ,YAN Langyu,0,1
10-Dec-90,1904745,Great Britain,GBR,Trampoline Gymnastics,Women,Female,1,,Gold ,PAGE Bryony,1,0
07-Jun-05,1938437,AIN,AIN,Trampoline Gymnastics,Women,Female,2,,Silver ,BARDZILOUSKAYA Viyaleta,1,0
03-Aug-98,1973102,Canada,CAN,Trampoline Gymnastics,Women,Female,3,,Bronze ,METHOT Sophiane,1,0
13-Jun-03,1902147,Korea,KOR,Archery,Women's Individual,Female,1,,Gold ,LIM Sihyeon,1,0
27-Jan-05,1902148,Korea,KOR,Archery,Women's Individual,Female,2,,Silver ,NAM Suhyeon,1,0
10-Apr-00,1541265,France,FRA,Archery,Women's Individual,Female,3,,Bronze ,BARBELIN Lisa,1,0
16-Feb-00,1975874,Philippines,PHI,Artistic Gymnastics,Men's Floor Exercise,Male,1,,Gold ,YULO Carlos Edriel,0,1
16-Jun-97,1908195,Israel,ISR,Artistic Gymnastics,Men's Floor Exercise,Male,2,,Silver ,DOLGOPYAT Artem,0,1
03-Dec-01,1904741,Great Britain,GBR,Artistic Gymnastics,Men's Floor Exercise,Male,3,,Bronze ,JARMAN Jake,0,1
21-Jul-99,1539986,Ireland,IRL,Artistic Gymnastics,Men's Pommel Horse,Male,1,,Gold ,Mc CLENAGHAN Rhys,0,1
06-Dec-97,1931577,Kazakhstan,KAZ,Artistic Gymnastics,Men's Pommel Horse,Male,2,,Silver ,KURBANOV Nariman,0,1
28-Oct-98,1959865,United States,USA,Artistic Gymnastics,Men's Pommel Horse,Male,3,,Bronze ,NEDOROSCIK Stephen,0,1
14-Mar-97,1959861,United States,USA,Artistic Gymnastics,Women's Vault,Female,1,,Gold ,BILES Simone,1,0
08-May-99,1953634,Brazil,BRA,Artistic Gymnastics,Women's Vault,Female,2,,Silver ,ANDRADE Rebeca,1,0
27-May-00,1959819,United States,USA,Artistic Gymnastics,Women's Vault,Female,3,,Bronze ,CAREY Jade,1,0
22-Dec-01,1878353,Norway,NOR,Athletics,Men's Decathlon,Male,1,,Gold ,ROOTH Markus,0,1
19-Jun-00,1920180,Germany,GER,Athletics,Men's Decathlon,Male,2,,Silver ,NEUGEBAUER Leo,0,1
28-Feb-93,1573388,Grenada,GRN,Athletics,Men's Decathlon,Male,3,,Bronze ,VICTOR Lindon,0,1
18-Dec-92,1960688,United States,USA,Athletics,Men's Shot Put,Male,1,,Gold ,CROUSER Ryan,0,1
28-Jun-89,1965246,United States,USA,Athletics,Men's Shot Put,Male,2,,Silver ,KOVACS Joe,0,1
29-Feb-96,1564189,Jamaica,JAM,Athletics,Men's Shot Put,Male,3,,Bronze ,CAMPBELL Rajindra,0,1
10-Jun-01,1537325,Saint Lucia,LCA,Athletics,Women's 100m,Female,1,,Gold ,ALFRED Julien,1,0
25-Mar-00,1960181,United States,USA,Athletics,Women's 100m,Female,2,,Silver ,RICHARDSON Sha'carri,1,0
21-Feb-01,1961011,United States,USA,Athletics,Women's 100m,Female,3,,Bronze ,JEFFERSON Melissa,1,0
05-Apr-94,1908333,Dominica,DMA,Athletics,Women's Triple Jump,Female,1,,Gold ,LAFOND Thea,1,0
02-Feb-92,1536885,Jamaica,JAM,Athletics,Women's Triple Jump,Female,2,,Silver ,RICKETTS Shanieka,1,0
01-May-01,1965250,United States,USA,Athletics,Women's Triple Jump,Female,3,,Bronze ,MOORE Jasmine,1,0
27-Apr-98,1887970,Chinese Taipei,TPE,Boxing,Women's 60kg,Female,3,,Bronze ,WU Shih Yi,1,0
09-Dec-92,1952540,Brazil,BRA,Boxing,Women's 60kg,Female,3,,Bronze ,SOARES FERREIRA Beatriz Iasmin,1,0
25-Jan-00,1903136,Belgium,BEL,Cycling Road,Men's Road Race,Male,1,,Gold ,EVENEPOEL Remco,0,1
12-Jul-96,1895699,France,FRA,Cycling Road,Men's Road Race,Male,2,,Silver ,MADOUAS Valentin,0,1
11-Dec-92,1895694,France,FRA,Cycling Road,Men's Road Race,Male,3,,Bronze ,LAPORTE Christophe,0,1
24-Jul-96,1906515,Germany,GER,Rowing,Men's Single Sculls,Male,1,,Gold ,ZEIDLER Oliver,0,1
09-Sep-99,1538160,AIN,AIN,Rowing,Men's Single Sculls,Male,2,,Silver ,ZALATY Yauheni,0,1
10-Apr-97,1965599,Netherlands,NED,Rowing,Men's Single Sculls,Male,3,,Bronze ,van DORP Simon,0,1
06-Apr-98,1965558,Netherlands,NED,Rowing,Women's Single Sculls,Female,1,,Gold ,FLORIJN Karolien,1,0
01-Mar-87,1927027,New Zealand,NZL,Rowing,Women's Single Sculls,Female,2,,Silver ,TWIGG Emma,1,0
12-Apr-96,1941956,Lithuania,LTU,Rowing,Women's Single Sculls,Female,3,,Bronze ,SENKUTE Viktorija,1,0
12-Jun-00,1927680,Israel,ISR,Sailing,Men's Windsurfing,Male,1,,Gold ,REUVENY Tom,0,1
16-Oct-03,1945982,Australia,AUS,Sailing,Men's Windsurfing,Male,2,,Silver ,MORRIS Grae,0,1
21-May-99,1970505,Netherlands,NED,Sailing,Men's Windsurfing,Male,3,,Bronze ,van OPZEELAND Luuc,0,1
10-Jan-96,1899653,Italy,ITA,Sailing,Women's Windsurfing,Female,1,,Gold ,MAGGETTI Marta,1,0
28-Jan-03,1927733,Israel,ISR,Sailing,Women's Windsurfing,Female,2,,Silver ,KANTOR Sharon,1,0
07-Apr-99,1899748,Great Britain,GBR,Sailing,Women's Windsurfing,Female,3,,Bronze ,WILSON Emma,1,0
20-May-03,1893995,Korea,KOR,Shooting,25m Pistol Women,Female,1,,Gold ,YANG Jiin,1,0
25-Apr-02,1888429,France,FRA,Shooting,25m Pistol Women,Female,2,,Silver ,JEDRZEJEWSKI Camille,1,0
19-Mar-97,1899493,Hungary,HUN,Shooting,25m Pistol Women,Female,3,,Bronze ,MAJOR Veronika,1,0
19-Mar-89,1944354,United States,USA,Shooting,Skeet Men,Male,1,,Gold ,HANCOCK Vincent,0,1
28-Mar-00,1944385,United States,USA,Shooting,Skeet Men,Male,2,,Silver ,PRINCE Conner Lynn,0,1
25-Aug-94,1569852,Chinese Taipei,TPE,Shooting,Skeet Men,Male,3,,Bronze ,LEE Meng Yuan,0,1
20-Feb-00,1905860,Hungary,HUN,Swimming,Men's 100m Butterfly,Male,1,,Gold ,MILAK Kristof,0,1
20-Aug-02,1967069,Canada,CAN,Swimming,Men's 100m Butterfly,Male,2,,Silver ,LIENDO Josh,0,1
07-Feb-05,1967058,Canada,CAN,Swimming,Men's 100m Butterfly,Male,3,,Bronze ,KHARUN Ilya,0,1
18-Aug-06,1967140,Canada,CAN,Swimming,Women's 200m Individual Medley,Female,1,,Gold ,McINTOSH Summer,1,0
17-Nov-01,1935895,United States,USA,Swimming,Women's 200m Individual Medley,Female,2,,Silver ,DOUGLASS Kate,1,0
12-Jul-01,1946198,Australia,AUS,Swimming,Women's 200m Individual Medley,Female,3,,Bronze ,McKEOWN Kaylee,1,0
17-Mar-97,1935938,United States,USA,Swimming,Women's 800m Freestyle,Female,1,,Gold ,LEDECKY Katie,1,0
07-Sep-00,1946150,Australia,AUS,Swimming,Women's 800m Freestyle,Female,2,,Silver ,TITMUS Ariarne,1,0
22-Oct-98,1935943,United States,USA,Swimming,Women's 800m Freestyle,Female,3,,Bronze ,MADDEN Paige,1,0
15-Jan-94,1902307,China,CHN,Table Tennis,Women's Singles,Female,1,,Gold ,CHEN Meng,1,0
04-Nov-00,1902313,China,CHN,Table Tennis,Women's Singles,Female,2,,Silver ,SUN Yingsha,1,0
07-Jul-00,1931100,Japan,JPN,Table Tennis,Women's Singles,Female,3,,Bronze ,HAYATA Hina,1,0
03-Mar-02,1562400,Italy,ITA,Tennis,Men's Singles,Male,3,,Bronze ,MUSETTI Lorenzo,0,1
08-Oct-02,1927709,China,CHN,Tennis,Women's Singles,Female,1,,Gold ,ZHENG Qinwen,1,0
28-Jun-96,1554972,Croatia,CRO,Tennis,Women's Singles,Female,2,,Silver ,VEKIC Donna,1,0
20-Jun-92,1902135,Korea,KOR,Archery,Men's Individual,Male,1,,Gold ,KIM Woojin,0,1
27-Oct-88,1955595,United States,USA,Archery,Men's Individual,Male,2,,Silver ,ELLISON Brady,0,1
07-Aug-97,1902144,Korea,KOR,Archery,Men's Individual,Male,3,,Bronze ,LEE Wooseok,0,1
11-Aug-94,1918856,China,CHN,Artistic Gymnastics,Men's Rings,Male,1,,Gold ,LIU Yang,0,1
03-Jan-98,1918865,China,CHN,Artistic Gymnastics,Men's Rings,Male,2,,Silver ,ZOU Jingyuan,0,1
30-Nov-90,1961314,Greece,GRE,Artistic Gymnastics,Men's Rings,Male,3,,Bronze ,PETROUNIAS Eleftherios,0,1
16-Feb-00,1975874,Philippines,PHI,Artistic Gymnastics,Men's Vault,Male,1,,Gold ,YULO Carlos Edriel,0,1
08-Aug-92,1915828,Armenia,ARM,Artistic Gymnastics,Men's Vault,Male,2,,Silver ,DAVTYAN Artur,0,1
06-Dec-03,1904740,Great Britain,GBR,Artistic Gymnastics,Men's Vault,Male,3,,Bronze ,HEPWORTH Harry,0,1
30-Dec-06,1545688,Algeria,ALG,Artistic Gymnastics,Women's Uneven Bars,Female,1,,Gold ,NEMOUR Kaylia,1,0
24-May-07,1918872,China,CHN,Artistic Gymnastics,Women's Uneven Bars,Female,2,,Silver ,QIU Qiyuan,1,0
09-Mar-03,1959866,United States,USA,Artistic Gymnastics,Women's Uneven Bars,Female,3,,Bronze ,LEE Sunisa,1,0
18-Jul-97,1960173,United States,USA,Athletics,Men's 100m,Male,1,,Gold ,LYLES Noah,0,1
17-Jul-01,1980161,Jamaica,JAM,Athletics,Men's 100m,Male,2,,Silver ,THOMPSON Kishane,0,1
07-May-95,1960958,United States,USA,Athletics,Men's 100m,Male,3,,Bronze ,KERLEY Fred,0,1
05-Apr-02,1974151,Canada,CAN,Athletics,Men's Hammer Throw,Male,1,,Gold ,KATZBERG Ethan,0,1
04-Aug-97,1916814,Hungary,HUN,Athletics,Men's Hammer Throw,Male,2,,Silver ,HALASZ Bence,0,1
22-Jan-01,1571563,Ukraine,UKR,Athletics,Men's Hammer Throw,Male,3,,Bronze ,KOKHAN Mykhaylo,0,1
19-Sep-01,1571559,Ukraine,UKR,Athletics,Women's High Jump,Female,1,,Gold ,MAHUCHIKH Yaroslava,1,0
28-Dec-96,1939838,Australia,AUS,Athletics,Women's High Jump,Female,2,,Silver ,OLYSLAGERS Nicola,1,0
10-Mar-95,1571577,Ukraine,UKR,Athletics,Women's High Jump,Female,3,,Bronze ,GERASHCHENKO Iryna,1,0
22-May-96,1939763,Australia,AUS,Athletics,Women's High Jump,Female,3,,Bronze ,PATTERSON Eleanor,1,0
10-Feb-04,1908817,Dominican Republic,DOM,Boxing,Men's 51kg,Male,3,,Bronze ,ALCANTARA REYES Yunior,0,1
07-Aug-96,1892464,Cabo Verde,CPV,Boxing,Men's 51kg,Male,3,,Bronze ,de PINA David,0,1
03-Nov-98,1972293,Canada,CAN,Boxing,Men's 63.5kg,Male,3,,Bronze ,SANFORD Wyatt,0,1
27-Aug-96,1550184,Georgia,GEO,Boxing,Men's 63.5kg,Male,3,,Bronze ,GURULI Lasha,0,1
02-Nov-00,1943368,Dominican Republic,DOM,Boxing,Men's 80kg,Male,3,,Bronze ,PINALES Cristian Javier,0,1
21-Feb-93,1555548,Cuba,CUB,Boxing,Men's 80kg,Male,3,,Bronze ,LOPEZ CARDONA Arlen,0,1
14-Dec-92,1934790,Spain,ESP,Boxing,Men's 92kg,Male,3,,Bronze ,REYES PLA Enmanuel,0,1
13-Jan-99,1909011,Tajikistan,TJK,Boxing,Men's 92kg,Male,3,,Bronze ,BOLTAEV Davlat,0,1
26-Aug-94,1980125,DPR Korea,PRK,Boxing,Women's 54kg,Female,3,,Bronze ,PANG Cholmi,1,0
11-May-99,1891890,Korea,KOR,Boxing,Women's 54kg,Female,3,,Bronze ,IM Aeji,1,0
18-Dec-92,1955081,United States,USA,Cycling Road,Women's Road Race,Female,1,,Gold ,FAULKNER Kristen,1,0
13-May-87,1969165,Netherlands,NED,Cycling Road,Women's Road Race,Female,2,,Silver ,VOS Marianne,1,0
10-Nov-95,1903120,Belgium,BEL,Cycling Road,Women's Road Race,Female,3,,Bronze ,KOPECKY Lotte,1,0
16-Feb-86,1914905,Germany,GER,Equestrian,Dressage Individual,Female,1,,Gold ,von BREDOW-WERNDL Jessica,1,0
21-Jul-69,1914909,Germany,GER,Equestrian,Dressage Individual,Female,2,,Silver ,WERTH Isabell,1,0
11-Feb-96,1970905,Great Britain,GBR,Equestrian,Dressage Individual,Female,3,,Bronze ,FRY Charlotte,1,0
21-Jun-96,1951724,United States,USA,Golf,Men's Individual Stroke Play,Male,1,,Gold ,SCHEFFLER Scottie,0,1
19-Jan-91,1923629,Great Britain,GBR,Golf,Men's Individual Stroke Play,Male,2,,Silver ,FLEETWOOD Tommy,0,1
25-Feb-92,1961406,Japan,JPN,Golf,Men's Individual Stroke Play,Male,3,,Bronze ,MATSUYAMA Hideki,0,1
27-Apr-90,1937878,Chile,CHI,Shooting,Skeet Women,Female,1,,Gold ,CROVETTO CHADID Francisca,1,0
21-Aug-97,1977402,Great Britain,GBR,Shooting,Skeet Women,Female,2,,Silver ,RUTTER Amber Jo,1,0
23-Jul-01,1944397,United States,USA,Shooting,Skeet Women,Female,3,,Bronze ,SMITH Austen Jewell,1,0
06-Nov-99,1935902,United States,USA,Swimming,Men's 1500m Freestyle,Male,1,,Gold ,FINKE Bobby,0,1
05-Sep-94,1925630,Italy,ITA,Swimming,Men's 1500m Freestyle,Male,2,,Silver ,PALTRINIERI Gregorio,0,1
14-Jul-01,1539969,Ireland,IRL,Swimming,Men's 1500m Freestyle,Male,3,,Bronze ,WIFFEN Daniel,0,1
17-Aug-93,1572557,Sweden,SWE,Swimming,Women's 50m Freestyle,Female,1,,Gold ,SJOESTROEM Sarah,1,0
07-Mar-02,1946212,Australia,AUS,Swimming,Women's 50m Freestyle,Female,2,,Silver ,HARRIS Meg,1,0
19-Apr-98,1945125,China,CHN,Swimming,Women's 50m Freestyle,Female,3,,Bronze ,ZHANG Yufei,1,0
22-Jan-97,1902295,China,CHN,Table Tennis,Men's Singles,Male,1,,Gold ,FAN Zhendong,0,1
16-Feb-02,1563390,Sweden,SWE,Table Tennis,Men's Singles,Male,2,,Silver ,MOREGARD Truls,0,1
12-Sep-06,1889177,France,FRA,Table Tennis,Men's Singles,Male,3,,Bronze ,LEBRUN Felix,0,1
22-May-87,1956398,Serbia,SRB,Tennis,Men's Singles,Male,1,,Gold ,DJOKOVIC Novak,0,1
05-May-03,1563682,Spain,ESP,Tennis,Men's Singles,Male,2,,Silver ,ALCARAZ Carlos,0,1
31-Oct-03,1919480,Japan,JPN,Artistic Gymnastics,Men's Horizontal Bar,Male,1,,Gold ,OKA Shinnosuke,0,1
12-Aug-06,1935685,Colombia,COL,Artistic Gymnastics,Men's Horizontal Bar,Male,2,,Silver ,BARAJAS Angel,0,1
04-Mar-00,1918864,China,CHN,Artistic Gymnastics,Men's Horizontal Bar,Male,3,,Bronze ,ZHANG Boheng,0,1
23-Sep-96,1878037,Chinese Taipei,TPE,Artistic Gymnastics,Men's Horizontal Bar,Male,3,,Bronze ,TANG Chia-Hung,0,1
03-Jan-98,1918865,China,CHN,Artistic Gymnastics,Men's Parallel Bars,Male,1,,Gold ,ZOU Jingyuan,0,1
10-Aug-03,1897555,Ukraine,UKR,Artistic Gymnastics,Men's Parallel Bars,Male,2,,Silver ,KOVTUN Illia,0,1
31-Oct-03,1919480,Japan,JPN,Artistic Gymnastics,Men's Parallel Bars,Male,3,,Bronze ,OKA Shinnosuke,0,1
07-Feb-03,1551061,Italy,ITA,Artistic Gymnastics,Women's Balance Beam,Female,1,,Gold ,D'AMATO Alice,1,0
12-Nov-05,1918881,China,CHN,Artistic Gymnastics,Women's Balance Beam,Female,2,,Silver ,ZHOU Yaqin,1,0
02-Nov-06,1560762,Italy,ITA,Artistic Gymnastics,Women's Balance Beam,Female,3,,Bronze ,ESPOSITO Manila,1,0
08-May-99,1953634,Brazil,BRA,Artistic Gymnastics,Women's Floor Exercise,Female,1,,Gold ,ANDRADE Rebeca,1,0
14-Mar-97,1959861,United States,USA,Artistic Gymnastics,Women's Floor Exercise,Female,2,,Silver ,BILES Simone,1,0
26-Jul-06,1550170,Romania,ROU,Artistic Gymnastics,Women's Floor Exercise,Female,3,,Bronze ,BARBOSU Ana,1,0
10-Nov-99,1569203,Sweden,SWE,Athletics,Men's Pole Vault,Male,1,,Gold ,DUPLANTIS Armand,0,1
07-Sep-92,1960178,United States,USA,Athletics,Men's Pole Vault,Male,2,,Silver ,KENDRICKS Sam,0,1
20-Oct-99,1961218,Greece,GRE,Athletics,Men's Pole Vault,Male,3,,Bronze ,KARALIS Emmanouil,0,1
05-Mar-00,1910560,Kenya,KEN,Athletics,Women's 5000m,Female,1,,Gold ,CHEBET Beatrice,1,0
10-Jan-94,1910451,Kenya,KEN,Athletics,Women's 5000m,Female,2,,Silver ,KIPYEGON Faith,1,0
01-Jan-93,1972105,Netherlands,NED,Athletics,Women's 5000m,Female,3,,Bronze ,HASSAN Sifan,1,0
03-Mar-02,1924429,Great Britain,GBR,Athletics,Women's 800m,Female,1,,Gold ,HODGKINSON Keely,1,0
23-Feb-01,1536498,Ethiopia,ETH,Athletics,Women's 800m,Female,2,,Silver ,DUGUMA Tsige,1,0
15-Jun-00,1928047,Kenya,KEN,Athletics,Women's 800m,Female,3,,Bronze ,MORAA Mary,1,0
23-Feb-95,1960721,United States,USA,Athletics,Women's Discus Throw,Female,1,,Gold ,ALLMAN Valarie,1,0
03-Apr-94,1919067,China,CHN,Athletics,Women's Discus Throw,Female,2,,Silver ,FENG Bin,1,0
21-Jun-90,1922205,Croatia,CRO,Athletics,Women's Discus Throw,Female,3,,Bronze ,ELKASEVIC Sandra,1,0
04-Jan-94,1888993,Denmark,DEN,Badminton,Men's Singles,Male,1,,Gold ,AXELSEN Viktor,0,1
11-May-01,1926294,Thailand,THA,Badminton,Men's Singles,Male,2,,Silver ,VITIDSARN Kunlavut,0,1
29-Mar-98,1566617,Malaysia,MAS,Badminton,Men's Singles,Male,3,,Bronze ,LEE Zii Jia,0,1
05-Feb-02,1891498,Korea,KOR,Badminton,Women's Singles,Female,1,,Gold ,AN Se Young,1,0
21-Mar-97,1913436,China,CHN,Badminton,Women's Singles,Female,2,,Silver ,HE Bing Jiao,1,0
17-Mar-95,1945386,New Zealand,NZL,Canoe Slalom,Men's Kayak Cross,Male,1,,Gold ,BUTCHER Finn,0,1
03-Nov-92,1896032,Great Britain,GBR,Canoe Slalom,Men's Kayak Cross,Male,2,,Silver ,CLARKE Joseph,0,1
15-Mar-99,1913780,Germany,GER,Canoe Slalom,Men's Kayak Cross,Male,3,,Bronze ,HEGGE Noah,0,1
19-Mar-97,1940209,Australia,AUS,Canoe Slalom,Women's Kayak Cross,Female,1,,Gold ,FOX Noemie,1,0
30-Jul-00,1880483,France,FRA,Canoe Slalom,Women's Kayak Cross,Female,2,,Silver ,HUG Angele,1,0
08-Sep-95,1896045,Great Britain,GBR,Canoe Slalom,Women's Kayak Cross,Female,3,,Bronze ,WOODS Kimberley,1,0
28-Aug-89,1913913,China,CHN,Shooting,25m Rapid Fire Pistol Men,Male,1,,Gold ,LI Yuehong,0,1
15-Jan-99,1893852,Korea,KOR,Shooting,25m Rapid Fire Pistol Men,Male,2,,Silver ,CHO Yeongjae,0,1
24-Oct-96,1913919,China,CHN,Shooting,25m Rapid Fire Pistol Men,Male,3,,Bronze ,WANG Xinjie,0,1
26-Feb-02,1567361,France,FRA,Surfing,Men,Male,1,,Gold ,VAAST Kauli,0,1
27-Dec-97,1946129,Australia,AUS,Surfing,Men,Male,2,,Silver ,ROBINSON Jack,0,1
22-Dec-93,1955778,Brazil,BRA,Surfing,Men,Male,3,,Bronze ,MEDINA Gabriel,0,1
14-Feb-02,1943206,United States,USA,Surfing,Women,Female,1,,Gold ,MARKS Caroline,1,0
09-May-96,1955783,Brazil,BRA,Surfing,Women,Female,2,,Silver ,WESTON-WEBB Tatiana,1,0
19-Nov-93,1567359,France,FRA,Surfing,Women,Female,3,,Bronze ,DEFAY Johanne,1,0
06-Jun-01,1960933,United States,USA,Athletics,Men's 1500m,Male,1,,Gold ,HOCKER Cole,0,1
08-Oct-97,1924440,Great Britain,GBR,Athletics,Men's 1500m,Male,2,,Silver ,KERR Josh,0,1
01-Jun-99,1965327,United States,USA,Athletics,Men's 1500m,Male,3,,Bronze ,NUGUSE Yared,0,1
18-Mar-98,1961246,Greece,GRE,Athletics,Men's Long Jump,Male,1,,Gold ,TENTOGLOU Miltiadis,0,1
24-Oct-00,1938899,Jamaica,JAM,Athletics,Men's Long Jump,Male,2,,Silver ,PINNOCK Wayne,0,1
07-Feb-05,1552378,Italy,ITA,Athletics,Men's Long Jump,Male,3,,Bronze ,FURLANI Mattia,0,1
07-Dec-96,1965868,United States,USA,Athletics,Women's 200m,Female,1,,Gold ,THOMAS Gabrielle,1,0
10-Jun-01,1537325,Saint Lucia,LCA,Athletics,Women's 200m,Female,2,,Silver ,ALFRED Julien,1,0
18-Apr-95,1960588,United States,USA,Athletics,Women's 200m,Female,3,,Bronze ,BROWN Brittany,1,0
31-Dec-99,1926102,Bahrain,BRN,Athletics,Women's 3000m Steeplechase,Female,1,,Gold ,YAVI Winfred,1,0
10-Jul-99,1971686,Uganda,UGA,Athletics,Women's 3000m Steeplechase,Female,2,,Silver ,CHEMUTAI Peruth,1,0
13-Jul-04,1910453,Kenya,KEN,Athletics,Women's 3000m Steeplechase,Female,3,,Bronze ,CHEROTICH Faith,1,0
07-Jun-99,1974290,Canada,CAN,Athletics,Women's Hammer Throw,Female,1,,Gold ,ROGERS Camryn,1,0
29-Jul-96,1960899,United States,USA,Athletics,Women's Hammer Throw,Female,2,,Silver ,ECHIKUNWOKE Annette Nneka,1,0
13-Oct-02,1919077,China,CHN,Athletics,Women's Hammer Throw,Female,3,,Bronze ,ZHAO Jie,1,0
07-Nov-02,1955645,United States,USA,Boxing,Men's 71kg,Male,3,,Bronze ,JONES Omari,0,1
04-Jun-97,1912009,Great Britain,GBR,Boxing,Men's 71kg,Male,3,,Bronze ,RICHARDSON Lewis,0,1
14-Sep-93,1931331,Kazakhstan,KAZ,Boxing,Women's 50kg,Female,3,,Bronze ,KYZAIBAY Nazym,1,0
01-Aug-95,1979870,Philippines,PHI,Boxing,Women's 50kg,Female,3,,Bronze ,VILLEGAS Aira,1,0
11-Dec-89,1555098,Ireland,IRL,Boxing,Women's 60kg,Female,1,,Gold ,HARRINGTON Kellie,1,0
13-Jan-91,1926828,China,CHN,Boxing,Women's 60kg,Female,2,,Silver ,YANG Wenlu,1,0
25-Sep-00,1898283,Thailand,THA,Boxing,Women's 66kg,Female,3,,Bronze ,SUWANNAPHENG Janjaem,1,0
10-May-97,1887975,Chinese Taipei,TPE,Boxing,Women's 66kg,Female,3,,Bronze ,CHEN Nien Chin,1,0
28-Mar-07,1901545,China,CHN,Diving,Women's 10m Platform,Female,1,,Gold ,QUAN Hongchan,1,0
11-Sep-05,1901544,China,CHN,Diving,Women's 10m Platform,Female,2,,Silver ,CHEN Yuxi,1,0
07-Apr-01,1980115,DPR Korea,PRK,Diving,Women's 10m Platform,Female,3,,Bronze ,KIM Mi Rae,1,0
04-Mar-90,1914912,Germany,GER,Equestrian,Jumping Individual,Male,1,,Gold ,KUKUK Christian,0,1
10-Jun-82,1976553,Switzerland,SUI,Equestrian,Jumping Individual,Male,2,,Silver ,GUERDAT Steve,0,1
10-Feb-88,1976879,Netherlands,NED,Equestrian,Jumping Individual,Male,3,,Bronze ,van der VLEUTEN Maikel,0,1
12-May-10,1946064,Australia,AUS,Skateboarding,Women's Park,Female,1,,Gold ,TREW Arisa,1,0
26-Aug-08,1902075,Japan,JPN,Skateboarding,Women's Park,Female,2,,Silver ,HIRAKI Cocona,1,0
07-Jul-08,1544123,Great Britain,GBR,Skateboarding,Women's Park,Female,3,,Bronze ,BROWN Sky,1,0
20-Aug-82,1571506,Cuba,CUB,Wrestling,Men's Greco-Roman 130kg,Male,1,,Gold ,LOPEZ NUNEZ Mijain,0,1
16-Jul-88,1935199,Chile,CHI,Wrestling,Men's Greco-Roman 130kg,Male,2,,Silver ,ACOSTA FERNANDEZ Yasmani,0,1
08-Jan-98,1544882,IR Iran,IRI,Wrestling,Men's Greco-Roman 130kg,Male,3,,Bronze ,MIRZAZADEH Amin,0,1
16-Apr-98,1919983,China,CHN,Wrestling,Men's Greco-Roman 130kg,Male,3,,Bronze ,MENG Lingzhe,0,1
18-Dec-95,1939713,Japan,JPN,Wrestling,Men's Greco-Roman 60kg,Male,1,,Gold ,FUMITA Kenichiro,0,1
04-Oct-98,1919973,China,CHN,Wrestling,Men's Greco-Roman 60kg,Male,2,,Silver ,CAO Liguo,0,1
29-Sep-99,1566631,Kyrgyzstan,KGZ,Wrestling,Men's Greco-Roman 60kg,Male,3,,Bronze ,SHARSHENBEKOV Zholaman,0,1
22-Dec-98,1980153,DPR Korea,PRK,Wrestling,Men's Greco-Roman 60kg,Male,3,,Bronze ,RI Se Ung,0,1
01-Jan-04,1955304,United States,USA,Wrestling,Women's Freestyle 68kg,Female,1,,Gold ,ELOR Amit,1,0
09-Nov-99,1568241,Kyrgyzstan,KGZ,Wrestling,Women's Freestyle 68kg,Female,2,,Silver ,ZHUMANAZAROVA Meerim,1,0
05-Dec-95,1570415,Turkiye,TUR,Wrestling,Women's Freestyle 68kg,Female,3,,Bronze ,CAVUSOGLU TOSUN Buse,1,0
23-Mar-03,1939709,Japan,JPN,Wrestling,Women's Freestyle 68kg,Female,3,,Bronze ,OZAKI Nonoka,1,0
07-Jan-96,1555372,Morocco,MAR,Athletics,Men's 3000m Steeplechase,Male,1,,Gold ,EL BAKKALI Soufiane,0,1
21-Oct-99,1965896,United States,USA,Athletics,Men's 3000m Steeplechase,Male,2,,Silver ,ROOKS Kenneth,0,1
06-Apr-96,1910445,Kenya,KEN,Athletics,Men's 3000m Steeplechase,Male,3,,Bronze ,KIBIWOT Abraham,0,1
